Автор,Название статьи,Категория,Уровень сложности,Время на прочтение (ч.),Количество просмотров (тыс.),Рейтинг,Добавить в закладки,Комментарии
Axelus,CRM должна быть CRM-ной,,Простой,0.13,0.08,0,"
    1
  ",0
rumin_v_rabote,"О чем пишут программисты, когда хотят найти заказчиков",Аналитика,,0.08,0.051,0,"
    1
  ",0
CatWithBlueHat,Кубик в кубе или самоучитель по Kubernetes,Дайджест,Простой,0.08,0.158,0,"
    3
  ",0
AndreyMitrofanov,Системы хранения и обработки данных: что предлагает отечественный производитель,Обзор,Простой,0.13,0.156,-1,"
    1
  ",0
TomHunter,Топ самых интересных CVE за октябрь 2023 года,,,0.13,0.126,+2,"
    0
  ",0
Deian-Edigarov,Акселератор в России и в Европе. Есть ли разница и стоит ли игра свеч?,Мнение,Простой,0.15,0.077,-1,"
    1
  ",1
novikovalegal,Почему за нарушение NDA чаще всего ничего не будет: в чём проблема большинства компаний,Мнение,Простой,0.07,0.724,+2,"
    5
  ",2
mrDevGo,Управляем навигацией во Flutter с помощью библиотеки auto_route. Часть 1,Туториал,Простой,0.12,0.114,+1,"
    1
  ",0
AlyonaB80,"LOD-ка, или один из способов «потопить» проект",,Простой,0.1,0.193,+1,"
    1
  ",6
Ivan_Demenev,Дизайн визуальных коммуникации — графика как средство для общения,Из песочницы,Простой,0.05,0.114,0,"
    0
  ",0
dataline,Как мы создали и развиваем лабораторию R&D,,Простой,0.2,0.224,+2,"
    0
  ",1
badcasedaily1,Многомерный анализ данных: исследование многомерных кубов и SQL OLAP-запросов,Обзор,Простой,0.13,0.194,+2,"
    5
  ",2
avkaledin,Как стать надёжной базой Secure-base leadership или как стать надежной базой для коллег в нестабильные времена,Мнение,,0.23,0.146,+4,"
    3
  ",0
big-mdm,База по SPI NOR FLASH,Обзор,Простой,0.03,0.334,+1,"
    3
  ",0
evertimes,Java Digest #6,Дайджест,Простой,0.08,0.458,+3,"
    6
  ",1
hack_less,SQL-инъекция: разбор уязвимости на примере,Recovery Mode,Средний,0.03,0.828,-4,"
    4
  ",1
vladislav_shevchenko,"Подбираем параметры сессии в Apache Spark, чтобы не стоять в очереди",Туториал,Средний,0.23,0.23,+5,"
    9
  ",1
AlexeyNadezhin,Тест AGM аккумуляторов Prometheus Energy PE 12100L и PE 1207,,Простой,0.05,0.465,+3,"
    1
  ",2
MarinaPronina,ИТ-настолка: как студенты разработали свои игровые карты и мобильное приложение,Ретроспектива,Простой,0.08,0.283,0,"
    1
  ",0
kmoseenk,Какой монорепозиторий сейчас подходит для Node.js BACKEND?,Перевод,,0.22,0.18,+2,"
    1
  ",1
ArdPy-coding,LCD 1602 расширенный функционал + RUS версия,Из песочницы,Простой,0.05,0.623,+2,"
    13
  ",27
torus1st,Иерархическая база данных (продолжение),,Средний,0.22,0.276,+1,"
    0
  ",1
k0mar0v,Japan Mobility Show: что интересного показали компании на крупнейшей автомобильной выставке мира,,,0.07,0.558,+5,"
    0
  ",0
Zyxel_CIS,"VoLTE и VoWiFi: технологии, которые помогают общаться. Что это и как работает?",,,0.07,0.712,+2,"
    2
  ",8
badcasedaily1,Как управлять трафиком с помощью BGP и OSPF,Обзор,Простой,0.18,0.564,+5,"
    13
  ",1
Saveliy,Когнитивные искажения в программировании. Часть 2,,,0.08,1.2,+3,"
    9
  ",3
MrPandaLine,На что игроки обращают внимание в первую очередь?,Из песочницы,Простой,0.08,0.686,+2,"
    5
  ",1
Saitcraft77,"ТОП-5 антисоветов для владельцев бизнеса, которые не хотят зарабатывать деньги",Recovery Mode,Простой,0.07,0.732,0,"
    0
  ",0
Digital_Design,Разработка мобильного клиента СДУ «Приоритет» под ОС «Аврора» на фреймворке Qt,Кейс,,0.13,0.845,+4,"
    3
  ",4
MichaelPimenov,MITRE: последователи и антагонисты,Обзор,Простой,0.15,0.249,+11,"
    4
  ",1
melnik909,"HTML и CSS ошибки, влияющие на доступность. Мой опыт и моего незрячего знакомого Ильи. Часть 3",Туториал,Средний,0.13,0.562,+15,"
    9
  ",2
DaniyarZhumabekov,Почему вовлеченные сотрудники — секрет успешной команды и проекта,Из песочницы,Простой,0.05,0.862,-2,"
    5
  ",10
